Nmax = 100000;
|       size - N|    vector time|      list time|
|            310|              0|              0|
|            311|              0|              1|
|            312|              0|              0|
|            313|              0|              0|
|            314|              0|              0|
|            315|              0|              0|
|            316|              0|              0|
|            317|              0|              0|
|            318|              0|              0|
|            319|              0|              1|
|            320|              0|              0|
|            321|              0|              0|
|            322|              0|              0|
|            323|              0|              0|
|            324|              0|              0|
|            325|              0|              0|
|            326|              0|              0|
|            327|              0|              0|
|            328|              0|              0|
|            329|              0|              0|
|            330|              0|              0|
|            331|              0|              0|
|            332|              0|              0|
|            333|              0|              0|
|            334|              1|              0|
|            335|              0|              0|
|            336|              0|              0|
|            337|              0|              0|
|            338|              0|              0|
|            339|              0|              0|
|            340|              0|              0|
|            341|              1|              0|
|            342|              0|              0|
|            343|              0|              0|
|            344|              0|              0|
|            345|              0|              0|
|            346|              0|              0|
|            347|              0|              0|
|            348|              0|              1|
|            349|              0|              0|
|            350|              0|              0|
|            351|              0|              0|
|            352|              0|              0|
|            353|              0|              0|
|            354|              0|              0|
|            355|              0|              1|
|            356|              0|              0|
|            357|              0|              0|
|            358|              0|              0|
|            359|              0|              0|
|            360|              0|              0|
|            361|              1|              0|
|            362|              0|              0|
|            363|              0|              0|
|            364|              0|              0|
|            365|              0|              0|
|            366|              0|              0|
|            367|              0|              0|
|            368|              0|              1|
|            369|              0|              0|
|            370|              0|              0|
|            371|              0|              0|
|            372|              0|              0|
|            373|              0|              0|
|            374|              0|              1|
|            375|              0|              0|
|            376|              0|              0|
|            377|              0|              0|
|            378|              0|              0|
|            379|              0|              0|
|            380|              1|              0|
|            381|              0|              0|
|            382|              0|              0|
|            383|              0|              0|
|            384|              0|              0|
|            385|              0|              0|
|            386|              0|              0|
|            387|              0|              1|
|            388|              0|              0|
|            389|              0|              0|
|            390|              0|              0|
|            391|              0|              0|
|            392|              0|              0|
|            393|              0|              1|
|            394|              0|              0|
|            395|              0|              0|
|            396|              0|              0|
|            397|              0|              0|
|            398|              1|              0|
|            399|              0|              0|
|            400|              0|              0|
|            401|              0|              0|
|            402|              0|              0|
|            403|              0|              0|
|            404|              0|              1|
|            405|              0|              0|
|            406|              0|              0|
|            407|              0|              0|
|            408|              0|              0|
|            409|              0|              0|
|            410|              0|              0|
|            411|              0|              0|
|            412|              0|              0|
|            413|              0|              0|
|            414|              0|              0|
|            415|              0|              1|
|            416|              0|              0|
|            417|              0|              0|
|            418|              0|              0|
|            419|              0|              0|
|            420|              1|              0|
|            421|              0|              0|
|            422|              0|              0|
|            423|              0|              0|
|            424|              0|              0|
|            425|              0|              0|
|            426|              0|              0|
|            427|              0|              0|
|            428|              0|              0|
|            429|              0|              0|
|            430|              0|              0|
|            431|              0|              1|
|            432|              0|              0|
|            433|              0|              0|
|            434|              0|              0|
|            435|              0|              0|
|            436|              0|              1|
|            437|              0|              0|
|            438|              0|              0|
|            439|              0|              0|
|            440|              1|              0|
|            441|              0|              0|
|            442|              0|              0|
|            443|              0|              0|
|            444|              0|              0|
|            445|              0|              0|
|            446|              0|              0|
|            447|              0|              0|
|            448|              0|              0|
|            449|              0|              0|
|            450|              0|              1|
|            451|              0|              0|
|            452|              0|              0|
|            453|              0|              0|
|            454|              0|              0|
|            455|              0|              1|
|            456|              0|              0|
|            457|              0|              0|
|            458|              0|              0|
|            459|              0|              0|
|            460|              0|              0|
|            461|              0|              0|
|            462|              0|              0|
|            463|              1|              0|
|            464|              0|              0|
|            465|              0|              0|
|            466|              0|              0|
|            467|              0|              0|
|            468|              0|              1|
|            469|              0|              0|
|            470|              0|              0|
|            471|              0|              0|
|            472|              0|              1|
|            473|              0|              0|
|            474|              0|              0|
|            475|              0|              0|
|            476|              1|              0|
|            477|              0|              0|
|            478|              0|              0|
|            479|              0|              0|
|            480|              0|              0|
|            481|              0|              1|
|            482|              0|              0|
|            483|              0|              0|
|            484|              0|              0|
|            485|              0|              1|
|            486|              0|              0|
|            487|              0|              0|
|            488|              0|              0|
|            489|              0|              1|
|            490|              0|              0|
|            491|              0|              0|
|            492|              0|              0|
|            493|              0|              1|
|            494|              0|              0|
|            495|              0|              0|
|            496|              0|              0|
|            497|              0|              1|
|            498|              0|              0|
|            499|              0|              0|
|            500|              0|              0|
|            501|              0|              1|
|            502|              0|              0|
|            503|              0|              0|
|            504|              0|              0|
|            505|              0|              1|
|            506|              0|              0|
|            507|              0|              0|
|            508|              0|              0|
|            509|              0|              1|
|            510|              1|              0|
|            511|              0|              0|
|            512|              0|              0|
|            513|              0|              0|
|            514|              0|              1|
|            515|              0|              0|
|            516|              0|              0|
|            517|              0|              0|
|            518|              0|              0|
|            519|              0|              0|
|            520|              0|              0|
|            521|              0|              1|
|            522|              0|              0|
|            523|              0|              0|
|            524|              0|              0|
|            525|              0|              1|
|            526|              0|              0|
|            527|              0|              0|
|            528|              0|              0|
|            529|              0|              0|
|            530|              0|              0|
|            531|              0|              0|
|            532|              0|              1|
|            533|              0|              0|
|            534|              0|              0|
|            535|              1|              0|
|            536|              0|              0|
|            537|              0|              0|
|            538|              0|              0|
|            539|              0|              1|
|            540|              0|              0|
|            541|              0|              0|
|            542|              1|              0|
|            543|              0|              0|
|            544|              0|              0|
|            545|              0|              0|
|            546|              0|              1|
|            547|              0|              0|
|            548|              0|              0|
|            549|              1|              0|
|            550|              0|              0|
|            551|              0|              0|
|            552|              0|              0|
|            553|              0|              1|
|            554|              0|              0|
|            555|              0|              0|
|            556|              0|              1|
|            557|              0|              0|
|            558|              0|              0|
|            559|              1|              0|
|            560|              0|              0|
|            561|              0|              0|
|            562|              0|              0|
|            563|              0|              1|
|            564|              0|              0|
|            565|              2|              0|
|            566|              0|              0|
|            567|              0|              0|
|            568|              0|              1|
|            569|              0|              0|
|            570|              0|              0|
|            571|              0|              1|
|            572|              0|              0|
|            573|              0|              1|
|            574|              0|              0|
|            575|              1|              0|
|            576|              0|              0|
|            577|              0|              0|
|            578|              0|              1|
|            579|              0|              0|
|            580|              1|              0|
|            581|              0|              0|
|            582|              1|              0|
|            583|              0|              0|
|            584|              0|              0|
|            585|              0|              1|
|            586|              0|              0|
|            587|              1|              0|
|            588|              0|              0|
|            589|              0|              0|
|            590|              0|              1|
|            591|              0|              0|
|            592|              0|              0|
|            593|              0|              1|
|            594|              0|              0|
|            595|              1|              0|
|            596|              0|              0|
|            597|              0|              0|
|            598|              0|              1|
|            599|              0|              0|
|            600|              0|              0|
|            601|              0|              1|
|            602|              0|              0|
|            603|              0|              1|
|            604|              0|              0|
|            605|              0|              1|
|            606|              0|              0|
|            607|              1|              0|
|            608|              0|              0|
|            609|              0|              1|
|            610|              0|              0|
|            611|              0|              1|
|            612|              0|              0|
|            613|              0|              1|
|            614|              0|              0|
|            615|              0|              1|
|            616|              0|              0|
|            617|              0|              1|
|            618|              0|              0|
|            619|              1|              0|
|            620|              0|              0|
|            621|              0|              0|
|            622|              0|              1|
|            623|              0|              0|
|            624|              1|              0|
|            625|              0|              0|
|            626|              1|              0|
|            627|              0|              0|
|            628|              1|              0|
|            629|              0|              0|
|            630|              0|              1|
|            631|              0|              1|
|            632|              0|              0|
|            633|              0|              1|
|            634|              0|              0|
|            635|              0|              1|
|            636|              0|              0|
|            637|              0|              1|
|            638|              0|              0|
|            639|              0|              1|
|            640|              1|              0|
|            641|              0|              0|
|            642|              0|              1|
|            643|              0|              1|
|            644|              0|              0|
|            645|              0|              1|
|            646|              1|              0|
|            647|              0|              0|
|            648|              1|              0|
|            649|              0|              0|
|            650|              0|              1|
|            651|              0|              0|
|            652|              1|              0|
|            653|              0|              0|
|            654|              0|              0|
|            655|              0|              0|
|            656|              0|              0|
|            657|              0|              1|
|            658|              0|              0|
|            659|              0|              1|
|            660|              0|              0|
|            661|              1|              0|
|            662|              0|              0|
|            663|              0|              0|
|            664|              0|              1|
|            665|              0|              0|
|            666|              0|              1|
|            667|              0|              0|
|            668|              0|              1|
|            669|              0|              0|
|            670|              1|              0|
|            671|              0|              0|
|            672|              0|              0|
|            673|              0|              1|
|            674|              0|              0|
|            675|              0|              1|
|            676|              0|              0|
|            677|              0|              1|
|            678|              0|              0|
|            679|              0|              1|
|            680|              0|              0|
|            681|              0|              0|
|            682|              0|              0|
|            683|              1|              0|
|            684|              0|              0|
|            685|              0|              0|
|            686|              0|              1|
|            687|              0|              0|
|            688|              0|              1|
|            689|              0|              0|
|            690|              0|              1|
|            691|              0|              0|
|            692|              0|              1|
|            693|              0|              0|
|            694|              0|              1|
|            695|              0|              0|
|            696|              1|              0|
|            697|              0|              0|
|            698|              1|              0|
|            699|              0|              0|
|            700|              1|              0|
|            701|              0|              0|
|            702|              0|              0|
|            703|              0|              1|
|            704|              0|              0|
|            705|              0|              1|
|            706|              0|              0|
|            707|              0|              1|
|            708|              0|              0|
|            709|              0|              1|
|            710|              0|              0|
|            711|              0|              1|
|            712|              0|              0|
|            713|              0|              1|
|            714|              0|              0|
|            715|              0|              1|
|            716|              0|              0|
|            717|              0|              1|
|            718|              0|              0|
|            719|              0|              1|
|            720|              0|              0|
|            721|              0|              1|
|            722|              1|              0|
|            723|              0|              0|
|            724|              1|              0|
|            725|              0|              0|
|            726|              1|              0|
|            727|              0|              0|
|            728|              1|              0|
|            729|              0|              0|
|            730|              1|              0|
|            731|              0|              0|
|            732|              1|              0|
|            733|              0|              0|
|            734|              1|              0|
|            735|              0|              0|
|            736|              0|              1|
|            737|              0|              0|
|            738|              0|              1|
|            739|              0|              0|
|            740|              0|              1|
|            741|              0|              0|
|            742|              0|              1|
|            743|              0|              0|
|            744|              0|              1|
|            745|              1|              0|
|            746|              0|              0|
|            747|              1|              0|
|            748|              0|              0|
|            749|              0|              1|
|            750|              0|              0|
|            751|              0|              1|
|            752|              0|              0|
|            753|              0|              1|
|            754|              0|              0|
|            755|              0|              1|
|            756|              0|              0|
|            757|              0|              1|
|            758|              1|              0|
|            759|              0|              0|
|            760|              1|              0|
|            761|              0|              0|
|            762|              0|              1|
|            763|              0|              0|
|            764|              0|              1|
|            765|              0|              0|
|            766|              0|              1|
|            767|              1|              0|
|            768|              0|              0|
|            769|              0|              1|
|            770|              0|              0|
|            771|              0|              1|
|            772|              0|              0|
|            773|              0|              1|
|            774|              1|              0|
|            775|              0|              0|
|            776|              0|              1|
|            777|              0|              0|
|            778|              0|              1|
|            779|              0|              0|
|            780|              0|              1|
|            781|              1|              0|
|            782|              0|              0|
|            783|              0|              0|
|            784|              0|              0|
|            785|              0|              1|
|            786|              0|              0|
|            787|              0|              1|
|            788|              1|              0|
|            789|              0|              0|
|            790|              0|              1|
|            791|              0|              0|
|            792|              0|              1|
|            793|              1|              0|
|            794|              0|              0|
|            795|              0|              1|
|            796|              0|              0|
|            797|              0|              1|
|            798|              1|              0|
|            799|              0|              0|
|            800|              0|              1|
|            801|              1|              0|
|            802|              0|              0|
|            803|              0|              1|
|            804|              0|              0|
|            805|              0|              1|
|            806|              1|              0|
|            807|              0|              0|
|            808|              0|              1|
|            809|              0|              0|
|            810|              0|              0|
|            811|              0|              1|
|            812|              0|              0|
|            813|              0|              1|
|            814|              1|              0|
|            815|              0|              0|
|            816|              0|              1|
|            817|              0|              0|
|            818|              0|              1|
|            819|              0|              1|
|            820|              0|              0|
|            821|              0|              1|
|            822|              1|              0|
|            823|              0|              0|
|            824|              0|              1|
|            825|              1|              0|
|            826|              0|              0|
|            827|              0|              1|
|            828|              0|              0|
|            829|              0|              1|
|            830|              0|              1|
|            831|              0|              0|
|            832|              0|              1|
|            833|              0|              1|
|            834|              0|              0|
|            835|              0|              1|
|            836|              0|              1|
|            837|              0|              0|
|            838|              0|              1|
|            839|              1|              0|
|            840|              0|              0|
|            841|              0|              1|
|            842|              1|              0|
|            843|              0|              0|
|            844|              0|              1|
|            845|              1|              0|
|            846|              0|              0|
|            847|              0|              1|
|            848|              1|              0|
|            849|              0|              0|
|            850|              0|              1|
|            851|              1|              0|
|            852|              0|              0|
|            853|              0|              1|
|            854|              1|              0|
|            855|              0|              0|
|            856|              0|              1|
|            857|              0|              1|
|            858|              0|              0|
|            859|              0|              1|
|            860|              0|              1|
|            861|              0|              0|
|            862|              0|              1|
|            863|              0|              1|
|            864|              1|              0|
|            865|              0|              0|
|            866|              0|              1|
|            867|              1|              0|
|            868|              0|              0|
|            869|              0|              1|
|            870|              0|              1|
|            871|              0|              0|
|            872|              0|              1|
|            873|              0|              1|
|            874|              1|              0|
|            875|              0|              0|
|            876|              0|              1|
|            877|              1|              0|
|            878|              0|              0|
|            879|              0|              1|
|            880|              0|              1|
|            881|              0|              0|
